date,angle,flux
2000_01_04,310.74791417586084,84.33276349832015
2000_01_04,254.89189603720098,52.58562399954154
2000_01_04,205.54202098841014,58.28926336832799
2000_01_04,122.2424678391233,92.86878847407257
2000_01_04,340.76606420920797,64.16384619741501
2000_01_04,312.344399558451,64.17550886503061
2000_01_04,337.8387666771913,68.55084398206677
2000_01_04,72.96223220437436,174.85017828526725
2000_01_04,284.8436897857165,85.67458312421164
2000_01_04,51.04165932374261,62.638017998861024
2000_01_04,281.90426571549176,92.01360481178956
2000_01_04,232.24541356035064,51.255218312776904
2000_01_04,162.66400140672204,92.02197958822794
2000_01_04,123.97922906270945,81.1145780815278
2000_01_04,143.7300362344099,81.6442787249729
2000_01_04,67.38013505195958,134.00994892344966
2000_01_04,70.16787014978162,161.28584402047215
2000_01_04,268.48057433218275,80.77170473793433
2000_01_04,171.9554775366644,42.595322319232274
2000_01_04,224.24473215451684,43.83042991334257
2000_01_04,131.8318796244062,58.58541011984046
2000_01_04,101.91913046303492,244.02516937719474
2000_01_08,85.12610357779525,776.8422553501285
2000_01_08,80.97374718648376,570.5958464791707
2000_01_08,290.25477108572716,252.44279666538282
2000_01_08,60.1457061444302,208.1723766470979
2000_01_08,61.78897132535797,187.43882479497572
2000_01_08,94.43266846868984,231.99406631089016
2000_01_08,316.9091524329964,82.49911994038396
2000_01_08,56.71743470320338,149.85866927609737
2000_01_08,86.9019625148139,493.2661263204068
2000_01_08,153.63693075770684,55.165065871548215
2000_01_08,128.65980825409008,88.02476961311919
2000_01_08,296.7675089192962,138.83053658127838
2000_01_08,90.29533645394704,358.9691215947698
2000_01_10,313.19349634862874,95.42601444974949
2000_01_10,229.64709590659524,124.78961403319086
2000_01_10,14.931417178137554,99.15497461931177
2000_01_10,295.9569820078488,129.37133610476042
2000_01_10,16.614424489126396,81.02037170022622
2000_01_10,196.84514608188832,65.59698840776304
2000_01_10,59.415011283251154,156.8843463783514
2000_01_10,76.9281205971247,231.64332851746576
2000_01_10,89.85233079213988,423.72131005192256
2000_01_10,99.97366068035063,150.05950667334932
